ÀÏ·Ã¹øÈ£,Ã¤¼öÀå¼Ò,ÀÇ·ÚÀÏÀÚ,°Ë»çÇ×¸ñ,°á°úÀÏÀÚ,»ýÈ­ÇÐÀû »ê¼Ò¿ä±¸·®,È­ÇÐÀû »ê¼Ò¿ä±¸·®,ÃÑ À¯±âÅº¼Ò,ºÎÀ¯¹°Áú,ÃÑÁú¼Ò,ÃÑÀÎ
53,»ï»ê3±³,2015-12-10,"BOD, COD, SS, T-N, T-P ",2015-12-30,6.8,7.2,-,5.6,2.771,0.112
54,±¼Æ÷1±³,2016-01-26,"BOD, COD, SS, T-N, T-P ",2016-02-11,3.5,6,-,6,3.538,0.038
55,»ï»ê3±³,2016-01-26,"BOD, COD, SS, T-N, T-P ",2016-02-11,3.5,5.8,-,4,3.579,0.042
56,¼­ºÎ1±³,2016-02-17,"COD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2016-02-25,1,7.4,-,4.4,5.148,0.114
57,±¼Æ÷1±³,2016-02-18,"BOD, COD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2016-02-25,0.7,6.3,-,3.2,3.91,0.065
58,±¼Æ÷2±³,2016-02-18,"BOD, COD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2016-02-25,0.6,6.2,-,2,4.051,0.062
59,±¼Æ÷3±³,2016-02-18,"BOD, COD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2016-02-25,0.5,6.2,-,3.6,3.965,0.162
60,±¼Æ÷3±³,2016-02-19,"BOD, COD, SS, T-N, T-P,Cu, Zn, Pb, Cd, Cr, Mn, Fe,¾Ï¸ð´Ï¾Æ¼º Áú¼Ò",2016-02-25,1.9,6.1,-,3.6,3.828,0.106
61,±¼Æ÷1±³,2016-02-25,"BOD, COD, SS, T-N, T-P ",2016-03-09,2.8,6.8,-,15.6,3.441,0.046
62,»ï»ê3±³,2016-02-25,"BOD, COD, SS, T-N, T-P ",2016-03-09,3.5,7.1,-,13.6,3.599,0.063
63,±¼Æ÷1±³,2016-03-23,"BOD, COD, SS, T-N, T-P ",2016-04-11,2.6,6.5,-,10.6,2.524,0.032
64,»ï»ê3±³,2016-03-23,"BOD, COD, SS, T-N, T-P ",2016-04-11,2.3,5.8,-,7.4,2.545,0.031
65,±¼Æ÷1±³,2016-04-22,"BOD, COD, TOC, SS, T-N, T-P ",2016-05-10,2.1,4.7,-,1.6,2.158,0.046
66,»ï»ê3±³,2016-04-22,"BOD, COD, TOC, SS, T-N, T-P ",2016-05-10,4.7,7.2,-,2.4,2.583,0.09
67,±¼Æ÷1±³,2016-05-12,"BOD, COD, TOC, SS, T-N, T-P ",2016-05-24,1.7,5.2,-,4.4,1.811,0.045
68,»ï»ê3±³,2016-05-12,"BOD, COD, TOC, SS, T-N, T-P ",2016-05-24,8.5,8.7,-,9.6,4.046,0.218
69,±¼Æ÷1±³,2016-06-03,"BOD, COD, TOC, SS, T-N, T-P ",2016-06-15,2.1,5.9,2.297,2.8,1.713,0.026
70,»ï»ê3±³,2016-06-03,"BOD, COD, TOC, SS, T-N, T-P ",2016-06-15,3.1,6.5,3.024,2.4,1.804,0.017
71,±¼Æ÷1±³,2016-07-01,"BOD, COD, TOC, SS, T-N, T-P ",2016-07-19,23.9,39.6,7.482,331,6.425,0.625
72,»ï»ê3±³,2016-07-01,"BOD, COD, TOC, SS, T-N, T-P ",2016-07-19,37,67.5,10.933,392,8.6,0.553
73,±¼Æ÷1±³,2016-07-06,"BOD, COD, TOC, SS, T-N, T-P ",2016-07-19,7.1,9.1,4.209,11.3,5.414,0.25
74,»ï»ê3±³,2016-07-06,"BOD, COD, TOC, SS, T-N, T-P ",2016-07-19,13.5,11.8,4.572,11.3,8.141,0.35
75,±¼Æ÷1±³,2016-07-22,"BOD, COD, TOC, SS, T-N, T-P ",2016-08-04,2.6,6.9,2.001,12.8,1.97,0.079
76,»ï»ê3±³,2016-07-22,"BOD, COD, TOC, SS, T-N, T-P ",2016-08-04,10.4,14.5,4.477,39.6,2.453,0.207
77,±¼Æ÷1±³,2016-08-05,"BOD, COD, TOC, SS, T-N, T-P ",2016-08-29,2.4,5,2.2,2,1.66,0.127
78,»ï»ê3±³,2016-08-05,"BOD, COD, TOC, SS, T-N, T-P ",2016-08-29,10.6,11.4,3.2,18.4,1.77,0.179
79,±¼Æ÷1±³,2016-09-21,"BOD, COD, TOC, SS, T-N, T-P ",2016-10-11,2.6,6.3,1.075,30,2.1,0.045
80,»ï»ê3±³,2016-09-21,"BOD, COD, TOC, SS, T-N, T-P ",2016-10-11,1.7,4.7,1.023,5.2,1.9,0.045
81,±¼Æ÷1±³,2016-10-05,"BOD, COD, TOC, SS, T-N, T-P ",2016-10-28,1.8,6.7,1.587,23.6,1.85,0.105
82,»ï»ê3±³,2016-10-05,"BOD, COD, TOC, SS, T-N, T-P ",2016-10-28,2.9,6.6,1.768,15.2,2.08,0.148
83,±¼Æ÷1±³,2016-11-04,"BOD, COD, TOC, SS, T-N, T-P ",2016-11-21,1.5,4.1,15.1,4.8,3.88,0.058
